,0
112,CELLULSCHALGO_PREALLOCATIONBANDWIDTHRATIO
113,SECTOR_L_THRP_BITS_TOTAL
114,CELLULSCHALGO_PREALLOCATIONSIZE
115,NN_INTERC_L_USER_DL_THROUGPUT_MBPS
116,NN_ALLC_L_THRP_DL_BITRATE_LS5M_RATIO
117,L_TRAFFIC_USER_AVG
118,CELLCQIADJALGO_INITDELTACQI
119,L_PRB_DL_PDSCH_UR
120,SECTOR_L_THRP_DL_BITRATE_LS1M_RATIO
121,CELLMLB_UENUMDIFFTHD
122,SECTOR_L_VOICE_PSDATA_RATIO
123,NN_INTERC_L_VOICE_PSDATA_RATIO
124,NN_ALLC_L_THRP_DL_BITRATE_LS2M_RATIO
125,NN_INTERC_L_E_RAB_ATTEST_QCI_1
126,NN_INTRAC_L_TRAFFIC_USER_VOIP_AVG
127,L_USER_DL_THROUGPUT_MBPS
128,L_USER_DL_THROUGPUT_FULLBUFF_MBPS
129,SECTOR_L_THRP_DL_BITRATE_SAMP_LS5M
130,NN_ALLC_L_TRAFFIC_USER_VOIP_AVG
131,SECTOR_L_THRP_DL_BITRATE_SAMP_TOTAL
132,SECTOR_L_TRAFFIC_USER_VOIP_AVG
133,L_THRP_DL_BITRATE_SAMP_LS5M
134,SECTOR_L_THRP_DL_BITRATE_LS2M_RATIO
135,NN_INTRAC_L_THRP_DL_BITRATE_LS5M_RATIO
136,L_THRP_DL_BITRATE_SAMP_TOTAL
137,NN_INTERC_L_THRP_DL_BITRATE_LS5M_RATIO
