Feature
L_TRAFFIC_USER_AVG
L_TRAFFIC_ACTIVEUSER_AVG
L_TRAFFIC_ACTIVEUSER_MAX
L_THRP_BITS_TOTAL
L_DL_SMALLPKT_TRAFFIC_RATIO
L_DL_SMALLPKT_SDU_RATIO
L_TRAFFIC_PKTINTERVAL_LS20S_NUM_RATIO
L_UL_SMALLPKT_TRAFFIC_RATIO
L_UL_SMALLPKT_SDU_RATIO
L_CHMEAS_PRB_DL_AVAIL
L_DL_UL_RATIO
L_CHMEAS_PRB_UL_AVAIL
L_PRB_UL_UR
L_PRB_DL_UR
L_CHMEAS_DL_CCE_UR_1
L_CHMEAS_UL_CCE_UR_1
L_CHMEAS_CCE_UR_1
L_CHMEAS_CCE_UR_2
L_CHMEAS_CCE_DL_ALLOCFAIL_RATIO
L_CHMEAS_CCE_UL_ALLOCFAIL_RATIO
L_CHMEAS_CCE_ALLOCFAIL_RATIO
L_DLPWR_AVG
L_DLPWR_MAX
L_DL_AVG_COVERAGE_USER_ULPL
L_TRAFFIC_USER_PL0_RATIO
L_TRAFFIC_USER_PL1_RATIO
L_TRAFFIC_USER_PL2_RATIO
L_TRAFFIC_USER_PL3_RATIO
L_TRAFFIC_USER_PL4_RATIO
L_TRAFFIC_USER_PL5_RATIO
L_TRAFFIC_USER_PL6_RATIO
L_TRAFFIC_USER_PL7_RATIO
L_TRAFFIC_USER_PL8_RATIO
L_TRAFFIC_USER_PL9_RATIO
L_TRAFFIC_USER_PL10_RATIO
L_TRAFFIC_USER_PL11_RATIO
L_TRAFFIC_USER_PL12_RATIO
L_TRAFFIC_USER_PL13_RATIO
L_TRAFFIC_USER_PL14_RATIO
L_UL_COVERAGE_PL_AVG
L_UL_PUSCH_AVG_COVERAGE
L_UL_RSRP_PUSCH_INDEX0_RATIO
L_UL_RSRP_PUSCH_INDEX1_RATIO
L_UL_RSRP_PUSCH_INDEX2_RATIO
L_UL_RSRP_PUSCH_INDEX3_RATIO
L_UL_RSRP_PUSCH_INDEX4_RATIO
L_UL_RSRP_PUSCH_INDEX5_RATIO
L_UL_RSRP_PUSCH_INDEX6_RATIO
L_UL_RSRP_PUSCH_INDEX7_RATIO
L_UL_RSRP_PUSCH_INDEX8_RATIO
